This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 202212 CRSP database.,,,,,,
The 1-month TBill return is from Ibbotson and Associates, Inc.,,,,,
,,,,,,
,Mkt-RF,SMB,HML,RMW,CMA,RF
30/12/2022,-0.22,0.12,-0.03,-0.53,0.02,0.016
29/12/2022,1.87,1.04,-1.07,-1.01,-0.82,0.016
28/12/2022,-1.23,-0.3,-0.29,-0.96,-0.03,0.016
27/12/2022,-0.51,-0.42,1.42,1.13,1.21,0.016
23/12/2022,0.51,-0.34,1.15,0.86,0.46,0.016
22/12/2022,-1.52,0.22,0.37,-0.05,0.88,0.016
21/12/2022,1.52,0.14,-0.14,0.36,-0.28,0.016
20/12/2022,0.13,0.24,0.25,-0.53,0.45,0.016
19/12/2022,-1.01,-0.6,1.23,0.62,1.16,0.016
16/12/2022,-1.02,0.53,0.19,-0.04,0.42,0.016
15/12/2022,-2.57,-0.11,1.38,0.25,0.36,0.016
14/12/2022,-0.56,0.04,-0.43,-0.16,-0.09,0.016
13/12/2022,0.66,0.08,-0.74,-0.28,-0.59,0.016
12/12/2022,1.41,-0.27,-0.15,-0.28,-0.15,0.016
09/12/2022,-0.8,-0.52,0.35,0.22,0.12,0.016
08/12/2022,0.77,-0.09,-1.21,-0.56,-0.63,0.016
07/12/2022,-0.24,-0.17,-0.33,0.08,-0.21,0.016
06/12/2022,-1.51,-0.02,1.16,0.82,0.71,0.016
05/12/2022,-2.02,-0.54,-0.51,0.85,0.97,0.016
02/12/2022,-0.08,0.83,-0.55,-0.4,0.33,0.016
01/12/2022,-0.02,0.04,-0.69,-0.31,-0.31,0.016
30/11/2022,3.12,-0.14,-2.07,-0.78,-1.42,0.014
29/11/2022,-0.18,0.35,1.03,0.19,0.47,0.014
28/11/2022,-1.55,-0.47,-0.2,0.32,0.31,0.014
25/11/2022,-0.02,0.27,0.44,-0.16,0.14,0.014
23/11/2022,0.63,-0.25,-0.94,-0.73,-0.57,0.014
22/11/2022,1.35,-0.38,0.45,0.71,-0.24,0.014
21/11/2022,-0.53,-0.2,0.99,0.47,1.09,0.014
18/11/2022,0.4,-0.09,0.07,0.4,0.62,0.014
17/11/2022,-0.42,-0.29,0.59,1.35,0.74,0.014
16/11/2022,-1.03,-1.06,0.57,1.16,0.91,0.014
15/11/2022,1.03,0.47,-0.7,-0.5,-0.52,0.014
14/11/2022,-0.95,-0.26,0.26,0.54,0.43,0.014
11/11/2022,1.07,0.16,-1.08,-0.88,-1.13,0.014
10/11/2022,5.68,1.05,-3.11,-0.72,-2.79,0.014
09/11/2022,-2.25,-0.5,0.55,0.94,1.06,0.014
08/11/2022,0.5,-0.55,-0.38,-0.2,0.06,0.014
07/11/2022,0.87,-0.34,0.61,1.05,0.94,0.014
04/11/2022,1.16,-0.26,1.28,2.19,0.64,0.014
