This file was created by CMPT_ME_BEME_RETS_DAILY using the 202212 CRSP database.,,,,
The Tbill return is the simple daily rate that, over the number of trading days,,,
in the month, compounds to 1-month TBill rate from Ibbotson and Associates Inc.,,,
,,,,
,Mkt-RF,SMB,HML,RF
30/12/2022,-0.22,0.11,-0.03,0.016
29/12/2022,1.87,1.27,-1.07,0.016
28/12/2022,-1.23,-0.25,-0.29,0.016
27/12/2022,-0.51,-0.73,1.42,0.016
23/12/2022,0.51,-0.6,1.15,0.016
22/12/2022,-1.52,0.1,0.37,0.016
21/12/2022,1.52,0.12,-0.14,0.016
20/12/2022,0.13,0.22,0.25,0.016
19/12/2022,-1.01,-0.78,1.23,0.016
16/12/2022,-1.02,0.53,0.19,0.016
15/12/2022,-2.57,-0.38,1.38,0.016
14/12/2022,-0.56,0.04,-0.43,0.016
13/12/2022,0.66,0.2,-0.74,0.016
12/12/2022,1.41,-0.32,-0.15,0.016
09/12/2022,-0.8,-0.54,0.35,0.016
08/12/2022,0.77,0.2,-1.21,0.016
07/12/2022,-0.24,-0.14,-0.33,0.016
06/12/2022,-1.51,-0.23,1.16,0.016
05/12/2022,-2.02,-0.59,-0.51,0.016
02/12/2022,-0.08,0.92,-0.55,0.016
01/12/2022,-0.02,0.25,-0.69,0.016
30/11/2022,3.12,0.35,-2.07,0.014
29/11/2022,-0.18,0.1,1.03,0.014
28/11/2022,-1.55,-0.4,-0.2,0.014
25/11/2022,-0.02,0.22,0.44,0.014
23/11/2022,0.63,0.02,-0.94,0.014
22/11/2022,1.35,-0.53,0.45,0.014
21/11/2022,-0.53,-0.35,0.99,0.014
18/11/2022,0.4,-0.18,0.07,0.014
17/11/2022,-0.42,-0.51,0.59,0.014
16/11/2022,-1.03,-1.2,0.57,0.014
15/11/2022,1.03,0.74,-0.7,0.014
14/11/2022,-0.95,-0.39,0.26,0.014
11/11/2022,1.07,0.29,-1.08,0.014
10/11/2022,5.68,1.66,-3.11,0.014
09/11/2022,-2.25,-0.62,0.55,0.014
08/11/2022,0.5,-0.47,-0.38,0.014
07/11/2022,0.87,-0.48,0.61,0.014
04/11/2022,1.16,-0.6,1.28,0.014
03/11/2022,-1.03,0.3,0.31,0.014
02/11/2022,-2.67,-1.2,1.6,0.014
01/11/2022,-0.35,0.16,0.78,0.014
31/10/2022,-0.67,0.39,0.75,0.011
28/10/2022,2.33,-0.04,-0.34,0.011
27/10/2022,-0.54,0.32,1.06,0.011
26/10/2022,-0.66,0.42,0.89,0.011
25/10/2022,1.78,1.35,-1.52,0.011
24/10/2022,1.03,-0.74,0.45,0.011
21/10/2022,2.3,-0.16,0.11,0.011
20/10/2022,-0.8,-0.27,-0.43,0.011
19/10/2022,-0.87,-1.32,1.21,0.011
